user_id,signup_date,company_size,industry,role,source_channel,day_1_login,day_3_login,day_7_login,day_14_login,projects_created,team_members_invited,integrations_setup,pricing_page_visited,payment_method_added,converted,conversion_date
NB-10001,2026-01-03,1-10,Technology,Developer,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10002,2026-01-04,11-50,Healthcare,Product Manager,referral,yes,yes,yes,yes,3,4,2,yes,yes,yes,2026-01-15
NB-10003,2026-01-04,1-10,Finance,Founder,paid,yes,no,no,no,0,0,0,no,no,no,
NB-10004,2026-01-05,51-200,Technology,Engineering Manager,organic,yes,yes,yes,yes,4,5,2,yes,yes,yes,2026-01-18
NB-10005,2026-01-05,1-10,Education,Project Manager,organic,yes,yes,no,no,2,1,0,yes,no,no,
NB-10006,2026-01-06,11-50,Retail,Team Lead,referral,yes,yes,yes,yes,3,3,1,yes,yes,yes,2026-01-14
NB-10007,2026-01-06,1000+,Finance,CTO,partner,yes,yes,yes,no,2,2,1,yes,no,no,
NB-10008,2026-01-07,1-10,Technology,Developer,paid,no,no,no,no,0,0,0,no,no,no,
NB-10009,2026-01-07,1-10,Media,Founder,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10010,2026-01-08,11-50,Consulting,Product Manager,organic,yes,yes,yes,yes,3,4,1,yes,yes,yes,2026-01-20
NB-10011,2026-01-08,201-500,Technology,VP Engineering,paid,yes,yes,no,no,1,1,0,yes,no,no,
NB-10012,2026-01-09,1-10,Healthcare,Project Manager,organic,yes,no,no,no,0,0,0,no,no,no,
NB-10013,2026-01-09,11-50,Technology,Engineering Manager,referral,yes,yes,yes,yes,4,5,2,yes,yes,yes,2026-01-22
NB-10014,2026-01-10,1-10,Education,Founder,paid,yes,yes,no,no,1,0,0,no,no,no,
NB-10015,2026-01-10,51-200,Finance,CTO,organic,yes,yes,yes,no,2,2,1,yes,no,no,
NB-10016,2026-01-11,1-10,Retail,Developer,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10017,2026-01-11,11-50,Technology,Product Manager,referral,yes,yes,yes,yes,3,3,2,yes,yes,yes,2026-01-19
NB-10018,2026-01-12,501-1000,Manufacturing,Operations Manager,partner,yes,yes,yes,no,2,2,0,yes,no,no,
NB-10019,2026-01-12,1-10,Media,Designer,paid,yes,no,no,no,0,0,0,no,no,no,
NB-10020,2026-01-13,1-10,Technology,Developer,organic,yes,yes,no,no,2,1,0,no,no,no,
NB-10021,2026-01-13,11-50,Consulting,Team Lead,organic,yes,yes,yes,yes,3,4,1,yes,yes,yes,2026-01-25
NB-10022,2026-01-14,1-10,Finance,Founder,paid,no,no,no,no,0,0,0,no,no,no,
NB-10023,2026-01-14,51-200,Healthcare,Product Manager,referral,yes,yes,yes,yes,4,3,2,yes,yes,yes,2026-01-26
NB-10024,2026-01-15,1-10,Education,Project Manager,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10025,2026-01-15,11-50,Technology,Engineering Manager,organic,yes,yes,yes,no,2,2,1,yes,no,no,
NB-10026,2026-01-16,1-10,Retail,Developer,paid,yes,no,no,no,0,0,0,no,no,no,
NB-10027,2026-01-16,11-50,Media,CTO,referral,yes,yes,yes,yes,5,4,2,yes,yes,yes,2026-01-28
NB-10028,2026-01-17,201-500,Technology,VP Engineering,organic,yes,yes,yes,no,2,1,1,yes,no,no,
NB-10029,2026-01-17,1-10,Logistics,Founder,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10030,2026-01-18,1-10,Technology,Developer,paid,yes,yes,no,no,1,0,0,no,no,no,
NB-10031,2026-01-18,51-200,Finance,Product Manager,organic,yes,yes,yes,yes,3,3,1,yes,yes,yes,2026-01-30
NB-10032,2026-01-19,1-10,Healthcare,Designer,organic,yes,no,no,no,0,0,0,no,no,no,
NB-10033,2026-01-19,11-50,Education,Team Lead,referral,yes,yes,yes,yes,3,5,1,yes,yes,yes,2026-01-29
NB-10034,2026-01-20,1000+,Technology,CTO,partner,yes,yes,no,no,1,1,0,yes,no,no,
NB-10035,2026-01-20,1-10,Consulting,Founder,paid,yes,no,no,no,0,0,0,no,no,no,
NB-10036,2026-01-21,1-10,Manufacturing,Project Manager,organic,yes,no,no,no,1,0,0,no,no,no,
NB-10037,2026-01-21,11-50,Technology,Engineering Manager,organic,yes,yes,yes,yes,4,4,2,yes,yes,yes,2026-02-02
NB-10038,2026-01-22,1-10,Retail,Developer,paid,no,no,no,no,0,0,0,no,no,no,
NB-10039,2026-01-22,51-200,Media,Product Manager,referral,yes,yes,yes,no,2,2,1,yes,no,no,
NB-10040,2026-01-23,1-10,Finance,Founder,organic,yes,yes,no,no,1,1,0,no,no,no,
NB-10041,2026-01-23,11-50,Technology,Team Lead,organic,yes,yes,yes,yes,3,3,1,yes,no,no,
NB-10042,2026-01-24,201-500,Healthcare,VP Engineering,paid,yes,yes,no,no,1,1,0,yes,no,no,
NB-10043,2026-01-24,1-10,Education,Designer,organic,yes,no,no,no,0,0,0,no,no,no,
NB-10044,2026-01-25,1-10,Technology,Developer,paid,yes,no,no,no,1,0,0,no,no,no,
NB-10045,2026-01-25,11-50,Logistics,Product Manager,referral,yes,yes,yes,yes,3,4,2,yes,yes,yes,2026-02-04
NB-10046,2026-01-26,1-10,Consulting,Founder,organic,yes,no,no,no,0,0,0,no,no,no,
NB-10047,2026-01-26,51-200,Technology,Engineering Manager,organic,yes,yes,yes,yes,4,3,2,yes,yes,yes,2026-02-06
NB-10048,2026-01-27,1-10,Finance,Project Manager,paid,yes,yes,no,no,1,0,0,no,no,no,
NB-10049,2026-01-27,11-50,Healthcare,CTO,referral,yes,yes,yes,no,2,2,1,yes,no,no,
NB-10050,2026-01-28,501-1000,Technology,VP Engineering,partner,yes,yes,no,no,1,1,0,yes,no,no,
NB-10051,2026-01-28,1-10,Retail,Developer,organic,yes,no,no,no,0,0,0,no,no,no,
NB-10052,2026-01-29,1-10,Media,Founder,paid,no,no,no,no,0,0,0,no,no,no,
NB-10053,2026-01-29,11-50,Technology,Product Manager,organic,yes,yes,yes,yes,3,3,1,yes,yes,yes,2026-02-08
NB-10054,2026-01-30,1-10,Education,Designer,organic,yes,no,no,no,1,0,0,no,no,no,
